wave,intensity,element
3888.646,1000,He
3964.727,50,He
4026.19,100,He
4387.928,75,He
4471.48,1500,He
4713.15,400,He
4921.929,1000,He
5015.675,5000,He
5047.736,200,He
5875.661,2000,He
6678.149,500,He
7065.19,170,He
7281.349,130,He
3705.5657,10,Fe
3719.9346,100,Fe
3737.15,75,Fe
3859.9114,75,Fe
3878.573,8,Fe
3886.282,50,Fe
3899.707,15,Fe
4072.005,200,Fe
5105.541,500,Cu
5153.235,150,Cu
5218.202,250,Cu
3509.7785,91,Ar
3514.3877,91,Ar
3519.9936,16,Ar
3521.2601,11,Ar
3521.9781,16,Ar
3535.3196,16,Ar
3545.5956,91,Ar
3545.845,91,Ar
3548.5144,16,Ar
3556.9041,16,Ar
3559.5081,129,Ar
3561.0304,129,Ar
3565.0298,11,Ar
3576.6156,30,AR
3581.6084,15,AR
3582.3546,20,AR
3588.4407,30,AR
3605.8792,16,AR
3622.1375,15,AR
3632.6831,5,AR
3637.031,5,AR
3639.8329,20,AR
3649.8323,10,AR
3650.8896,5,AR
3655.2782,10,AR
3660.437,10,AR
3678.2701,10,AR
3680.0609,10,AR
3682.5448,10,AR
3690.8951,5,AR
3718.2065,15,AR
3720.4265,10,AR
3724.5165,10,AR
3729.3087,30,AR
3737.889,20,AR
3763.5053,5,AR
3765.27,50,AR
3766.1186,30,AR
3770.3687,22,AR
3770.52,22,AR
3780.8398,20,AR
3786.3824,11,AR
3796.5934,5,AR
3803.1724,20,AR
3809.4561,20,AR
3819.0159,5,AR
3825.6729,10,AR
3826.8072,20,AR
3834.6787,50,AR
3841.5187,10,AR
3845.4055,20,AR
3850.5813,150,AR
3856.1382,10,AR
3868.5284,150,AR
3872.1371,20,AR
3875.2645,20,AR
3880.3332,10,AR
3891.4017,20,AR
3891.9792,20,AR
3894.66,10,AR
3900.6266,5,AR
3911.576,5,AR
3914.7675,20,AR
3925.7188,50,AR
3928.6233,50,AR
3931.2359,10,AR
3932.5466,30,AR
3944.2717,10,AR
3946.0971,150,AR
3947.5046,50,AR
3948.9789,300,AR
3952.7291,20,AR
3968.3594,80,AR
3974.4766,100,AR
3979.3559,100,AR
3992.0535,20,AR
3994.7918,150,AR
4005.3628,20,AR
4013.8566,100,AR
4019.8429,20,AR
4033.8093,50,AR
4035.46,50,AR
4038.8043,20,AR
4042.8937,200,AR
4044.4179,300,AR
4045.9654,30,AR
4052.9208,200,AR
4054.5258,20,AR
4072.0047,400,AR
4072.3849,91,AR
4076.6284,32,AR
4076.9432,16,AR
4079.5738,20,AR
4082.3872,20,AR
4103.9121,80,AR
4112.8153,10,AR
4128.64,10,AR
4131.7235,200,AR
4156.086,20,AR
4158.5905,300,AR
4164.1795,25,AR
4179.2973,50,AR
4181.8836,250,AR
4190.7129,129,AR
4191.0294,65,AR
4198.317,200,AR
4200.6745,200,AR
4201.9715,20,AR
4203.4109,5,AR
4217.4308,20,AR
4218.6649,20,AR
4222.6373,20,AR
4226.9876,20,AR
4229.8696,10,AR
4237.2198,30,AR
4251.1846,30,AR
4259.3619,300,AR
4266.2864,150,AR
4272.1689,200,AR
4275.1596,16,AR
4277.5282,500,AR
4282.8976,20,AR
4297.9645,10,AR
4300.1008,200,AR
4300.6495,32,AR
4309.2392,50,AR
4331.1995,80,AR
4332.0297,65,AR
4333.5612,250,AR
4335.3379,200,AR
4337.0708,100,AR
4345.168,250,AR
4348.064,200,AR
4352.2049,30,AR
4362.0662,30,AR
4367.8316,30,AR
4370.7532,60,AR
4371.329,91,AR
4374.8579,11,AR
4375.9542,20,AR
4379.6668,30,AR
4385.0566,20,AR
4400.0968,20,AR
4400.9863,30,AR
4420.9124,10,AR
4423.9944,10,AR
4426.0011,50,AR
4430.189,50,AR
4430.9963,10,AR
4433.838,10,AR
4439.4614,10,AR
4448.8792,15,AR
4460.5574,5,AR
4474.7594,120,AR
4481.8107,140,AR
4490.9816,10,AR
4498.5384,10,AR
4502.9268,20,AR
4510.7332,250,AR
4522.323,30,AR
4530.5523,20,AR
4535.4903,10,AR
4537.6426,10,AR
4545.0519,250,AR
4547.7589,10,AR
4563.7429,10,AR
4564.4054,10,AR
4579.3495,160,AR
4589.8978,130,AR
4596.0967,20,AR
4609.5673,250,AR
4628.4409,30,AR
4637.2328,30,AR
4657.9012,250,AR
4702.3161,50,AR
4721.591,20,AR
4726.8683,200,AR
4732.0532,50,AR
4735.9058,130,AR
4764.8646,250,AR
4806.0205,130,AR
4847.8095,50,AR
4865.9105,10,AR
4876.2611,10,AR
4879.8635,120,AR
4882.2432,10,AR
4888.2612,10,AR
4889.0422,20,AR
4904.7516,10,AR
4914.3146,10,AR
4933.2091,10,AR
4942.9214,10,AR
4965.0795,100,AR
4972.1597,10,AR
5009.3344,10,AR
5017.1628,30,AR
5062.0371,20,AR
5090.4951,10,AR
5118.2023,10,AR
5125.7654,10,AR
5141.7827,10,AR
5145.3083,10,AR
5151.3907,10,AR
5162.2846,10,AR
5165.7728,10,AR
5176.2292,10,AR
5187.7462,30,AR
5216.8139,10,AR
5221.271,20,AR
5254.4648,10,AR
5397.516,11,AR
5407.3439,11,AR
5421.3517,10,AR
5439.9891,10,AR
5442.2427,10,AR
5443.6893,10,AR
5451.652,20,AR
5457.4157,20,AR
5467.1608,10,AR
5473.4516,20,AR
5490.1194,20,AR
5495.8738,150,AR
5498.1841,10,AR
5506.1128,30,AR
5524.957,20,AR
5558.702,100,AR
5572.5413,60,AR
5572.5431,11,AR
5577.6845,30,AR
5581.8714,15,AR
5588.72,30,AR
5597.4756,50,AR
5601.1216,30,AR
5606.733,120,AR
5641.3751,10,AR
5648.6863,20,AR
5650.7043,80,AR
5659.1272,20,AR
5681.9001,20,AR
5691.6612,10,AR
5700.24,75,AR
5719.225,150,AR
5738.3869,10,AR
5739.5196,40,AR
5748.298,75,AR
5764.419,200,AR
5772.1143,20,AR
5774.0087,20,AR
5782.13,120,AR
5783.536,5,AR
5802.0798,15,AR
5804.45,100,AR
5820.156,100,AR
5834.2633,30,AR
5860.3103,40,AR
5882.6242,30,AR
5888.5841,60,AR
5912.0853,80,AR
5916.5992,20,AR
5927.1258,10,AR
5928.813,50,AR
5942.6686,15,AR
5949.2583,10,AR
5971.6008,10,AR
5998.9987,20,AR
6005.7242,10,AR
6013.6777,20,AR
6025.15,40,AR
6032.1274,100,AR
6043.2233,80,AR
6046.8977,15,AR
6052.7229,20,AR
6059.3725,40,AR
6064.7508,5,AR
6081.2433,5,AR
6085.8797,5,AR
6090.7848,20,AR
6098.8031,40,AR
6101.1615,10,AR
6103.539,10,AR
6105.6351,30,AR
6113.4657,5,AR
6114.9234,100,AR
6119.6565,10,AR
6123.3619,10,AR
6127.416,20,AR
6128.7227,10,AR
6145.4411,50,AR
6155.2385,20,AR
6165.1232,20,AR
6170.174,80,AR
6172.2778,140,AR
6173.0964,70,AR
6174.4032,5,AR
6212.5031,50,AR
6215.9383,30,AR
6243.1201,20,AR
6296.8722,40,AR
6307.657,40,AR
6333.1459,20,AR
6357.0229,10,AR
6364.8937,20,AR
6369.5748,30,AR
6384.7169,80,AR
6396.6097,10,AR
6399.2065,10,AR
6403.0128,10,AR
6416.3071,200,AR
6418.3703,10,AR
6431.555,30,AR
6437.6003,10,AR
6441.8994,10,AR
6443.8598,10,AR
6466.5526,30,AR
6468.0483,20,AR
6472.4294,10,AR
6481.1453,20,AR
6483.0825,40,AR
6493.9694,10,AR
6499.1061,10,AR
6538.112,80,AR
6604.8534,200,AR
6620.9665,40,AR
6632.0837,50,AR
6638.2207,120,AR
6639.7403,80,AR
6643.6976,400,AR
6656.9386,50,AR
6660.6761,100,AR
6664.051,140,AR
6666.3588,200,AR
6677.2817,2000,AR
6684.2929,200,AR
6698.88,80,AR
6719.2184,50,AR
6752.8335,3000,AR
6756.1631,150,AR
6766.6117,300,AR
6827.2488,80,AR
6861.2688,120,AR
6863.535,30,AR
6871.2891,3000,AR
6879.5824,100,AR
6888.1742,150,AR
6937.6642,1000,AR
6951.4776,200,AR
6965.4307,10000,AR
7030.2514,1200,AR
7067.2181,12000,AR
7068.7358,129,AR
7107.4778,300,AR
7125.82,300,AR
7147.0416,3000,AR
7158.8387,16,AR
7206.9804,1000,AR
7233.5365,16,AR
7256.1724,20,AR
7270.6636,200,AR
7272.9359,5000,AR
7311.7159,400,AR
7316.005,300,AR
7353.293,500,AR
7372.1184,2000,AR
7380.4263,22,AR
7383.9805,20000,AR
7392.9801,200,AR
7412.3368,16,AR
7425.2942,11,AR
7435.3683,300,AR
7436.297,11,AR
7503.8691,20000,AR
7514.6518,20000,AR
7589.3151,11,AR
7635.106,20000,AR
7723.7611,15000,AR
7724.2072,10000,AR
7891.075,500,AR
7948.1764,10000,AR
8006.1567,10000,AR
8014.7857,14000,AR
8053.3085,500,AR
8103.6931,13000,AR
8115.311,20000,AR
8264.5225,8000,AR
8384.724,500,AR
8392.268,200,AR
8408.2096,15000,AR
8424.6475,15000,AR
8443.44,100,AR
8490.3065,200,AR
8521.4422,10000,AR
8605.7762,1000,AR
8620.4602,400,AR
8667.9442,5000,AR
8736.833,10,AR
8761.6862,800,AR
8771.8602,22,AR
8799.0875,200,AR
8849.909,20,AR
9075.3945,200,AR
9122.9674,20000,AR
9194.6385,1000,AR
9224.4992,10000,AR
9291.5313,1000,AR
9354.2198,4000,AR
9657.7863,10000,AR
9784.5028,4000,AR
